date,values
2022-08-10,277
2022-08-11,155
2022-08-12,291
2022-08-13,291
2022-08-14,290
2022-08-15,300
2022-08-16,208
2022-08-17,233
2022-08-18,151
2022-08-19,229
2022-08-20,201
2022-08-21,91
2022-08-22,176
2022-08-23,221
2022-08-24,254
2022-08-25,243
2022-08-26,236
2022-08-27,164
2022-08-28,109
2022-08-29,100
2022-08-30,98
2022-08-31,126
2022-09-01,286
2022-09-02,285
2022-09-03,294
2022-09-04,255
2022-09-05,283
2022-09-06,297
2022-09-07,283
2022-09-08,269
2022-09-09,164
2022-09-10,109
2022-09-11,84
2022-09-12,134
2022-09-13,166
2022-09-14,145
2022-09-15,103
2022-09-16,185
2022-09-17,126
2022-09-18,105
2022-09-19,74
2022-09-20,70
2022-09-21,75
2022-09-22,173
2022-09-23,249
2022-09-24,166
2022-09-25,119
2022-09-26,91
2022-09-27,219
2022-09-28,290
2022-09-29,277
2022-09-30,178
2022-10-01,97
2022-10-02,76
2022-10-03,92
2022-10-04,225
2022-10-05,220
2022-10-06,210
2022-10-07,178
2022-10-08,237
2022-10-09,225
2022-10-10,188
2022-10-11,168
2022-10-12,122
2022-10-13,98
2022-10-14,149
2022-10-15,77
2022-10-16,79
2022-10-17,77
2022-10-18,118
2022-10-19,167
2022-10-20,207
2022-10-21,191
2022-10-22,116
2022-10-23,62
2022-10-24,67
2022-10-25,87
2022-10-26,169
2022-10-27,120
2022-10-28,96
2022-10-29,143
2022-10-30,186
2022-10-31,120
2022-11-01,155
2022-11-02,132
2022-11-03,39
2022-11-04,57
2022-11-05,95
2022-11-06,104
2022-11-07,92
2022-11-08,55
2022-11-09,46
2022-11-10,66
2022-11-11,66
2022-11-12,82
2022-11-13,114
2022-11-14,85
2022-11-15,86
2022-11-16,70
2022-11-17,67
2022-11-18,100
2022-11-19,101
2022-11-20,64
2022-11-21,86
2022-11-22,98
2022-11-23,103
2022-11-24,104
2022-11-25,71
2022-11-26,137
2022-11-27,152
2022-11-28,156
2022-11-29,132
2022-11-30,86
2022-12-01,80
2022-12-02,70
2022-12-03,128
2022-12-04,131
2022-12-05,132
2022-12-06,88
2022-12-07,109
2022-12-08,115
2022-12-09,115
2022-12-10,144
2022-12-11,122
2022-12-12,72
2022-12-13,74
2022-12-14,29
2022-12-15,92
2022-12-16,107
2022-12-17,95
2022-12-18,117
2022-12-19,153
2022-12-20,151
2022-12-21,114
2022-12-22,136
2022-12-23,155
2022-12-24,151
2022-12-25,110
2022-12-26,150
2022-12-27,167
2022-12-28,160
2022-12-29,129
2022-12-30,72
2022-12-31,64
2023-01-01,48
2023-01-02,81
2023-01-03,82
2023-01-04,54
2023-01-05,46
2023-01-06,94
2023-01-07,133
2023-01-08,156
2023-01-09,146
2023-01-10,66
2023-01-11,94
2023-01-12,96
2023-01-13,109
2023-01-14,155
2023-01-15,118
2023-01-16,54
2023-01-17,48
2023-01-18,90
2023-01-19,137
2023-01-20,127
2023-01-21,83
2023-01-22,96
2023-01-23,92
2023-01-24,79
2023-01-25,106
2023-01-26,106
2023-01-27,98
2023-01-28,142
2023-01-29,115
2023-01-30,67
2023-01-31,56
2023-02-01,80
2023-02-02,118
2023-02-03,129
2023-02-04,130
